Date,Open,High,Low,Close,Volume
31-Dec-12,72.93,76.49,72.71,76.02,164872785
28-Dec-12,72.90,73.50,72.59,72.80,88569243
27-Dec-12,73.36,73.75,72.09,73.58,113779680
26-Dec-12,74.14,74.21,73.02,73.29,75609030
24-Dec-12,74.34,74.89,74.10,74.31,43936977
21-Dec-12,73.21,74.24,72.89,74.19,149129554
20-Dec-12,75.71,75.74,74.13,74.53,120421798
19-Dec-12,75.92,76.24,75.07,75.19,112340424
18-Dec-12,75.00,76.41,74.32,76.27,156417023
17-Dec-12,72.70,74.29,71.60,74.12,189736022
14-Dec-12,73.54,74.02,72.23,72.83,252394499
13-Dec-12,75.88,76.81,75.11,75.67,156314627
12-Dec-12,78.25,78.29,76.61,77.00,121783130
11-Dec-12,77.11,78.51,76.77,77.34,148085903
10-Dec-12,75.00,76.93,74.51,75.69,157620575
7-Dec-12,79.06,79.31,75.71,76.18,196941794
6-Dec-12,75.56,79.04,74.09,78.18,294301791
5-Dec-12,81.27,81.32,76.97,76.97,261159353
4-Dec-12,83.11,83.11,81.73,82.26,139482392
3-Dec-12,84.81,84.94,83.64,83.74,91069097
30-Nov-12,83.83,84.06,83.24,83.61,97824986
29-Nov-12,84.32,84.89,83.61,84.19,128674525
28-Nov-12,82.47,83.69,81.75,83.28,130264981
27-Nov-12,84.22,84.35,82.87,83.54,133328454
26-Nov-12,82.27,84.29,81.96,84.22,157644431
23-Nov-12,81.02,81.71,80.37,81.64,68206579
21-Nov-12,80.61,81.05,79.51,80.24,93306759
20-Nov-12,81.70,81.71,79.23,80.13,160687856
19-Nov-12,77.24,81.07,77.13,80.82,205792965
16-Nov-12,75.03,75.71,72.25,75.38,316722763
15-Nov-12,76.79,77.07,74.66,75.09,197477385
14-Nov-12,77.93,78.21,76.60,76.70,119291977
13-Nov-12,76.99,78.64,76.62,77.56,133302610
12-Nov-12,79.16,79.21,76.95,77.55,128950479
9-Nov-12,77.20,79.27,76.25,78.15,232476496
8-Nov-12,80.09,80.32,76.47,76.82,264036339
7-Nov-12,81.98,82.08,79.39,79.71,198412186
6-Nov-12,84.32,84.39,82.87,83.26,93729041
5-Nov-12,83.36,83.97,82.51,83.52,132321224
2-Nov-12,85.13,85.28,82.11,82.40,149843064
1-Nov-12,85.46,86.14,84.88,85.22,90361922
31-Oct-12,84.98,85.99,83.96,85.05,127500471
