Date,Open,High,Low,Close,Volume
24-Jul-17,73.53,73.75,73.13,73.60,21394826
21-Jul-17,73.45,74.29,73.17,73.79,46717082
20-Jul-17,74.18,74.30,73.28,74.22,42361025
19-Jul-17,73.50,74.04,73.45,73.86,22416222
18-Jul-17,73.09,73.39,72.66,73.30,26435296
17-Jul-17,72.80,73.45,72.72,73.35,21803907
14-Jul-17,72.24,73.27,71.96,72.78,25868086
13-Jul-17,71.50,72.04,71.31,71.77,20269816
12-Jul-17,70.69,71.28,70.55,71.15,17750925
11-Jul-17,70.11,70.68,69.75,69.99,17460022
10-Jul-17,69.46,70.25,69.20,69.98,15014503
7-Jul-17,68.70,69.84,68.70,69.46,16878317
6-Jul-17,68.27,68.78,68.12,68.57,21117572
5-Jul-17,68.26,69.44,68.22,69.08,21176272
3-Jul-17,69.33,69.60,68.02,68.17,16165538
30-Jun-17,68.78,69.38,68.74,68.93,24161068
29-Jun-17,69.38,69.49,68.09,68.49,28918715
28-Jun-17,69.21,69.84,68.79,69.80,25806200
27-Jun-17,70.11,70.18,69.18,69.21,25215128
26-Jun-17,71.40,71.71,70.44,70.53,19606974
23-Jun-17,70.09,71.25,69.92,71.21,27617291
22-Jun-17,70.54,70.59,69.71,70.26,22965738
21-Jun-17,70.21,70.62,69.94,70.27,19891051
20-Jun-17,70.82,70.87,69.87,69.91,21512231
19-Jun-17,70.50,70.94,70.35,70.87,23798268
16-Jun-17,69.73,70.03,69.22,70.00,48345085
15-Jun-17,69.27,70.21,68.80,69.90,26068709
14-Jun-17,70.91,71.10,69.43,70.27,25510685
13-Jun-17,70.02,70.82,69.96,70.65,25258614
12-Jun-17,69.25,69.94,68.13,69.78,47761743
9-Jun-17,72.04,72.08,68.59,70.32,49187396
8-Jun-17,72.51,72.52,71.50,71.95,24588270
7-Jun-17,72.64,72.77,71.95,72.39,22301765
6-Jun-17,72.30,72.62,72.27,72.52,31511065
5-Jun-17,71.97,72.89,71.81,72.28,33316760
2-Jun-17,70.44,71.86,70.24,71.76,34770261
1-Jun-17,70.24,70.61,69.45,70.10,21603601
31-May-17,70.53,70.74,69.81,69.84,30436364
30-May-17,69.79,70.41,69.77,70.41,17072838
26-May-17,69.80,70.22,69.52,69.96,19827923
25-May-17,68.97,69.88,68.91,69.62,21854095
