Date,Open,High,Low,Close,Volume
24-Jul-17,50.80,50.90,50.61,50.76,7639116
21-Jul-17,50.87,51.15,50.65,50.80,8791922
20-Jul-17,51.14,51.26,50.84,51.13,8772545
19-Jul-17,50.46,51.10,50.36,51.00,13312763
18-Jul-17,50.34,50.70,50.16,50.45,14105601
17-Jul-17,50.31,50.58,50.24,50.44,8094195
14-Jul-17,50.27,50.65,50.27,50.56,9875932
13-Jul-17,50.55,50.68,50.25,50.35,11959949
12-Jul-17,50.02,50.48,49.96,50.45,14461391
11-Jul-17,49.53,49.89,49.41,49.88,9751082
10-Jul-17,49.27,49.83,49.22,49.62,10098514
7-Jul-17,48.83,49.44,48.83,49.35,10889360
6-Jul-17,49.25,49.42,48.77,48.85,14411942
5-Jul-17,49.80,50.03,49.41,49.46,15775251
3-Jul-17,50.05,50.13,49.32,49.36,10883219
30-Jun-17,50.18,50.52,50.08,50.14,13146430
29-Jun-17,50.76,50.88,49.98,50.20,13929067
28-Jun-17,51.07,51.09,50.81,50.87,15981578
27-Jun-17,50.75,51.45,50.52,50.75,17876401
26-Jun-17,50.99,51.70,50.77,50.86,29453393
23-Jun-17,50.24,51.84,50.07,50.95,42812545
22-Jun-17,51.61,51.85,50.16,50.30,63193897
21-Jun-17,46.15,46.54,46.08,46.33,30757278
20-Jun-17,45.76,46.32,45.60,45.84,15299580
19-Jun-17,45.27,45.75,45.21,45.73,12787720
16-Jun-17,44.75,45.10,44.53,45.09,15930868
15-Jun-17,44.55,44.82,44.37,44.68,10394642
14-Jun-17,45.16,45.28,44.48,44.81,12024581
13-Jun-17,45.07,45.24,44.62,44.98,10705755
12-Jun-17,44.65,44.85,43.74,44.85,16189867
9-Jun-17,45.40,45.67,44.68,45.03,12188360
8-Jun-17,45.73,45.86,45.31,45.42,12889520
7-Jun-17,45.62,45.65,45.14,45.40,7688665
6-Jun-17,45.73,45.84,45.60,45.61,7449507
5-Jun-17,45.69,46.00,45.67,45.92,8617321
